code_circo,code_dpt,circo,departement,candidat,genre,site
42_2,42,2,Loire,Pascal Arrighi,H,https://fnlegislatives.fr/candidats/pascal-arrighi/
77_9,77,9,Seine-et-Marne,Pascal Fiandrin,H,https://fnlegislatives.fr/candidats/pascal-fiandrin/
72_3,72,3,Sarthe,Pascal GANNAT,H,https://fnlegislatives.fr/candidats/pascal-gannat/
57_5,57,5,Moselle,Pascal Jenft,H,https://fnlegislatives.fr/candidats/pascal-jenft/
72_2,72,2,Sarthe,Pascal NICOT,H,https://fnlegislatives.fr/candidats/pascal-nicot/
86_2,86,2,Vienne,Pascale Bordin,H,https://fnlegislatives.fr/candidats/pascale-bordin/
49_3,49,3,Maine-et-Loire,Patrice LANCIEN,H,https://fnlegislatives.fr/candidats/patrice-lancien/
93_3,93,3,Seine-Saint-Denis,Patrice VELLA,H,https://fnlegislatives.fr/candidats/patrice-vella/
80_3,80,3,Somme,Patricia CHAGNON,F,https://fnlegislatives.fr/candidats/patricia-chagnon/
02_3,2,3,Aisne,Paul-Henry HANSEN-CATTA,H,https://fnlegislatives.fr/candidats/paul-henry-hansen-catta/
