code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
94_4,Nathalie Lemaire,F,Martial Prouheze,H,94,4
94_5,Raphaëlle Martinez,F,Jeremy Boucher,H,94,5
94_6,Stéphanie Michel,F,Vianney Orjebin,H,94,6
94_7,Kévin DALLA FRANCESCA,H, ,,94,7
94_8,Renaud Pequignot,H,Amélie Bellaud,F,94,8
94_9,Martine Lachaud,F,Patrick Pérez Sécheret,H,94,9
95_1,Romain Renou,H, ,,95,1
95_10,Katia Noin Ledanois,F,Gérard Januario,H,95,10
95_2,Sylvie Geoffroy-Martin,F,Elliott Bareau,H,95,2
95_3,,F,Sébastien Davignon,H,95,3
95_4,Cathy Pinheiro,F,Brice Errandonea,H,95,4
95_5,Françoise Stiegler,F,Stéphane Steunou,H,95,5
95_6,Serge Grossvak,H,Johanne Labellé,F,95,6
95_7,Gilles Monsillon,H,Marie Laure Joëlle Olmeta,F,95,7
95_8,Pamela Hocini,F,Elisée Fernandez,H,95,8
95_9,Rabha Belbachir,F,Christian Guéry,H,95,9
971_1,,,,,971,1
971_2,Michel Tola,H,Christèle Roussel,F,971,2
971_3,,,,,971,3
971_4,Guilhem SALTEL,H,Nice Cambronne,F,971,4
972_1,,,,,972,1
972_2,,,,,972,2
972_3,,,,,972,3
972_4,,,,,972,4
973_1,,,,,973,1
973_2,,,,,973,2
974_1,,,,,974,1
974_2,,,,,974,2
974_3,Virginie Grondin,F,Pascal Basse,H,974,3
974_4,Corine Bédier,F,Didier Migneau,H,974,4
974_5,Denise Delavanne,F, ,,974,5
974_6,Pascal Hoareau,H,Marie-Josianne Lagrange,F,974,6
974_7,Perceval GAILLARD,H,Sandra Gence,F,974,7
975_1,,,,,975,1
976_1,,,,,976,1
976_2,,,,,976,2
977_1,,,,,977,1
986_1,,,,,986,1
987_1,,,,,987,1
987_2,,,,,987,2
987_3,,,,,987,3
988_1,,,,,988,1
988_2,,,,,988,2
999_1,,,,,999,1
999_10,,,,,999,10
999_11,,,,,999,11
999_2,,,,,999,2
999_3,,,,,999,3
999_4,,,,,999,4
999_5,,,,,999,5
999_6,,,,,999,6
999_7,,,,,999,7
999_8,,,,,999,8
999_9,,,,,999,9
